 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.00128	10.4444	2	-4.64321e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.30728e-05	3.34353	3.71154	1.36794	

0.00129	10.4444	2	-9.14063e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-8.47931e-05	3.34353	3.71154	1.36794	

0.0013	10.4444	2	-1.79943e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000166924	3.34353	3.71154	1.36794	

0.00131	10.4444	2	-3.54236e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000328607	3.34353	3.71154	1.36794	

0.00132	10.4444	2	-6.97351e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000646896	3.34353	3.71154	1.36794	

0.00133	10.4444	2	-1.37281e-08	0.1	-24.9244	-0.751461	-1.49093	-32.8305	2.21533	-44.3547	-0.00127348	3.34353	3.71154	1.36794	

0.00134	10.4444	2	-2.70252e-08	0.0999999	-24.9244	-0.751462	-1.49093	-32.8305	2.21533	-44.3547	-0.00250698	3.34353	3.71154	1.36794	

0.00135	10.4445	2	-5.32022e-08	0.0999998	-24.9245	-0.751464	-1.49094	-32.8306	2.21533	-44.3548	-0.00493525	3.34353	3.71154	1.36794	

0.00136	10.4445	1.99999	-1.04735e-07	0.0999997	-24.9247	-0.751467	-1.49095	-32.8307	2.21534	-44.3549	-0.00971554	3.34353	3.71154	1.36795	

0.00137	10.4445	1.99999	-2.06183e-07	0.0999994	-24.925	-0.751475	-1.49096	-32.8308	2.21535	-44.3551	-0.019126	3.34353	3.71155	1.36795	

0.00138	10.4445	1.99998	-4.05895e-07	0.0999988	-24.9256	-0.75149	-1.491	-32.8312	2.21537	-44.3556	-0.037651	3.34354	3.71156	1.36796	

0.00139	10.4445	1.99996	-7.99051e-07	0.0999977	-24.9268	-0.75152	-1.49107	-32.8319	2.2154	-44.3565	-0.0741184	3.34355	3.71158	1.36797	

0.0014	10.4446	1.99992	-1.57301e-06	0.0999954	-24.9291	-0.751579	-1.49122	-32.8332	2.21547	-44.3582	-0.145903	3.34357	3.71163	1.368	

0.00141	10.4448	1.99984	-3.09658e-06	0.0999909	-24.9337	-0.751694	-1.4915	-32.8359	2.21561	-44.3616	-0.287199	3.34361	3.71171	1.36805	

0.00142	10.4452	1.99969	-6.09552e-06	0.0999821	-24.9428	-0.751922	-1.49205	-32.8411	2.21589	-44.3683	-0.565276	3.34368	3.71189	1.36815	

0.00143	10.446	1.99939	-1.19976e-05	0.0999648	-24.9607	-0.752369	-1.49313	-32.8514	2.21644	-44.3815	-1.11238	3.34382	3.71222	1.36834	

0.00144	10.4475	1.9988	-2.36092e-05	0.0999308	-24.9959	-0.75325	-1.49526	-32.8716	2.21751	-44.4074	-2.18814	3.34411	3.71289	1.36873	

0.00145	10.4504	1.99764	-4.64376e-05	0.0998643	-25.0651	-0.754981	-1.49943	-32.9114	2.21961	-44.4584	-4.3006	3.34467	3.7142	1.3695	

0.00146	10.4561	1.99537	-9.12556e-05	0.0997344	-25.2013	-0.75838	-1.50758	-32.9898	2.22373	-44.5586	-8.43706	3.34576	3.71677	1.37099	

0.00147	10.4672	1.9909	-0.000178997	0.0994822	-25.4694	-0.765032	-1.52344	-33.1436	2.23178	-44.7552	-16.4854	3.3479	3.72177	1.37391	

0.00148	10.4886	1.98218	-0.000349817	0.0989975	-25.9964	-0.777982	-1.55405	-33.4454	2.24735	-45.1398	-31.9144	3.35203	3.73143	1.37955	

0.00149	10.5292	1.9653	-0.0006788	0.0980819	-27.03	-0.802928	-1.61238	-34.0347	2.27698	-45.8865	-60.6763	3.35985	3.74975	1.39024	

