 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0.00415	11.9859	1.00042	0.0253459	0.053983	-106.015	-0.255381	-5.09627	-73.6676	3.50281	-92.0238	177.1	3.66082	4.45455	1.8015	

0.0042	11.9856	1.00041	0.0255798	0.0539877	-106.015	-0.246344	-5.0963	-73.6816	3.49645	-92.0362	178.256	3.66076	4.4544	1.80142	

0.00425	11.9852	1.00041	0.0257613	0.0539915	-106.016	-0.239383	-5.09632	-73.6977	3.48854	-92.0504	179.588	3.66068	4.45423	1.80132	

0.0043	11.9849	1.0004	0.0259003	0.0539943	-106.016	-0.234092	-5.09633	-73.7162	3.47882	-92.0666	181.112	3.66059	4.45403	1.80121	

0.00435	11.9844	1.0004	0.0260054	0.0539965	-106.016	-0.230123	-5.09633	-73.7372	3.46701	-92.0849	182.844	3.6605	4.4538	1.80108	

0.0044	11.9839	1.00039	0.0260838	0.0539983	-106.017	-0.227186	-5.09635	-73.7609	3.45278	-92.1056	184.8	3.66038	4.45354	1.80093	

0.00445	11.9834	1.00039	0.0261415	0.0539995	-106.017	-0.225042	-5.09639	-73.7876	3.4358	-92.1288	186.994	3.66026	4.45324	1.80076	

0.0045	11.9828	1.00039	0.0261834	0.0539999	-106.018	-0.223499	-5.09645	-73.8173	3.4157	-92.1546	189.436	3.66011	4.45291	1.80057	

0.00455	11.9821	1.00038	0.0262134	0.0539996	-106.018	-0.222407	-5.09652	-73.8503	3.39208	-92.1832	192.135	3.65995	4.45255	1.80036	

0.0046	11.9813	1.00038	0.0262346	0.0539989	-106.019	-0.221647	-5.0966	-73.8866	3.36456	-92.2146	195.095	3.65978	4.45214	1.80013	

0.00465	11.9804	1.00038	0.0262492	0.0539979	-106.019	-0.22113	-5.09667	-73.9263	3.33273	-92.2488	198.314	3.65958	4.4517	1.79988	

0.0047	11.9795	1.00037	0.0262591	0.0539968	-106.02	-0.220787	-5.09674	-73.9693	3.29619	-92.2858	201.784	3.65937	4.45121	1.7996	

0.00475	11.9785	1.00037	0.0262654	0.0539956	-106.02	-0.220562	-5.09681	-74.0155	3.25457	-92.3253	205.49	3.65914	4.45069	1.79931	

0.0048	11.9775	1.00037	0.0262694	0.0539945	-106.021	-0.220412	-5.09687	-74.0645	3.20751	-92.3673	209.41	3.6589	4.45013	1.79899	

0.00485	11.9764	1.00037	0.026272	0.0539934	-106.021	-0.220307	-5.09691	-74.1163	3.1547	-92.4114	213.514	3.65864	4.44954	1.79866	

0.0049	11.9752	1.00036	0.0262739	0.0539925	-106.021	-0.220243	-5.09695	-74.1702	3.09588	-92.4572	217.767	3.65837	4.44892	1.79831	

0.00495	11.974	1.00036	0.0262751	0.0539916	-106.022	-0.220218	-5.09697	-74.2257	3.03085	-92.5043	222.123	3.65809	4.44828	1.79794	

0.005	11.9728	1.00036	0.0262754	0.0539908	-106.022	-0.220223	-5.09698	-74.2823	2.95951	-92.552	226.532	3.6578	4.44762	1.79757	

0.00505	11.9715	1.00036	0.026275	0.0539901	-106.022	-0.220247	-5.09697	-74.3391	2.88181	-92.5998	230.938	3.65751	4.44695	1.7972	

0.0051	11.9703	1.00035	0.0262742	0.0539894	-106.022	-0.220281	-5.09696	-74.3953	2.79781	-92.6468	235.278	3.65721	4.44629	1.79682	

0.00515	11.9691	1.00035	0.026273	0.0539888	-106.022	-0.220317	-5.09693	-74.4501	2.7077	-92.6923	239.49	3.65693	4.44563	1.79646	

0.0052	11.9679	1.00035	0.0262717	0.0539881	-106.021	-0.220348	-5.0969	-74.5024	2.61173	-92.7356	243.509	3.65665	4.445	1.79611	

0.00525	11.9668	1.00035	0.0262705	0.0539875	-106.021	-0.220374	-5.09686	-74.5514	2.51028	-92.7758	247.27	3.65638	4.4444	1.79577	

0.0053	11.9658	1.00035	0.0262692	0.0539868	-106.02	-0.220394	-5.0968	-74.5961	2.40384	-92.812	250.711	3.65614	4.44385	1.79547	

0.00535	11.9649	1.00035	0.0262679	0.053986	-106.02	-0.22041	-5.09674	-74.6356	2.29298	-92.8436	253.774	3.65591	4.44335	1.7952	

0.0054	11.9641	1.00035	0.0262667	0.0539852	-106.019	-0.220421	-5.09668	-74.669	2.17837	-92.8697	256.405	3.65572	4.44292	1.79496	

0.00545	11.9634	1.00035	0.0262655	0.0539843	-106.019	-0.220427	-5.0966	-74.6956	2.06076	-92.8898	258.558	3.65556	4.44256	1.79477	

0.0055	11.9629	1.00035	0.0262643	0.0539833	-106.018	-0.220428	-5.09651	-74.7147	1.94095	-92.9033	260.194	3.65543	4.44228	1.79462	

0.00555	11.9626	1.00035	0.0262632	0.0539823	-106.017	-0.220425	-5.09642	-74.7259	1.8198	-92.9099	261.282	3.65534	4.44209	1.79453	

0.0056	11.9625	1.00035	0.0262623	0.0539815	-106.017	-0.22042	-5.09633	-74.7289	1.6982	-92.9093	261.805	3.65529	4.442	1.79449	

0.00565	11.9625	1.00035	0.0262614	0.0539808	-106.016	-0.220413	-5.09625	-74.7237	1.57704	-92.9017	261.759	3.65528	4.442	1.7945	

0.0057	11.9628	1.00035	0.0262606	0.0539799	-106.015	-0.220407	-5.09616	-74.7101	1.45719	-92.8866	261.142	3.65531	4.44209	1.79457	

0.00575	11.9632	1.00035	0.0262596	0.0539785	-106.014	-0.220401	-5.09606	-74.6883	1.33952	-92.8644	259.957	3.65539	4.44227	1.79469	

0.0058	11.9637	1.00035	0.0262586	0.0539771	-106.014	-0.220392	-5.09596	-74.6586	1.22483	-92.8355	258.223	3.6555	4.44254	1.79486	

0.00585	11.9644	1.00035	0.0262575	0.0539757	-106.013	-0.220375	-5.09585	-74.6218	1.11388	-92.8003	255.972	3.65564	4.4429	1.79507	

0.0059	11.9653	1.00035	0.0262565	0.0539743	-106.012	-0.220351	-5.09574	-74.5784	1.00731	-92.7596	253.244	3.65582	4.44333	1.79533	

0.00595	11.9663	1.00035	0.0262556	0.0539728	-106.012	-0.220322	-5.09563	-74.5294	0.905718	-92.714	250.087	3.65603	4.44383	1.79563	

0.006	11.9674	1.00035	0.0262546	0.0539714	-106.011	-0.220287	-5.09552	-74.4756	0.809573	-92.6643	246.554	3.65626	4.44438	1.79596	

0.00605	11.9686	1.00035	0.0262532	0.0539698	-106.011	-0.220244	-5.09542	-74.418	0.719253	-92.6114	242.707	3.65651	4.44498	1.79631	

